station_code,measure_date,TA_30MIN_MEAN,DW_30MIN_MEAN,HS
URS2,2008-01-01 12:00:00+00:00,-7.3,170.0,49.0
URS2,2008-01-02 12:00:00+00:00,-10.8,136.0,46.0
URS2,2008-01-03 12:00:00+00:00,-9.9,161.0,47.0
URS2,2008-01-04 12:00:00+00:00,-4.9,206.0,45.0
URS2,2008-01-05 12:00:00+00:00,-4.7,182.0,45.0
URS2,2008-01-06 12:00:00+00:00,-2.9,189.0,57.0
URS2,2008-01-07 12:00:00+00:00,0.5,219.0,64.0
URS2,2008-01-08 12:00:00+00:00,-3.8,153.0,60.0
URS2,2008-01-09 12:00:00+00:00,-4.9,135.0,51.0
URS2,2008-01-10 12:00:00+00:00,-2.2,141.0,50.0
URS2,2008-01-11 12:00:00+00:00,-3.5,202.0,46.0
URS2,2008-01-12 12:00:00+00:00,-6.7,45.0,96.0
URS2,2008-01-13 12:00:00+00:00,-1.8,171.0,87.0
URS2,2008-01-14 12:00:00+00:00,-4.3,197.0,81.0
URS2,2008-01-15 12:00:00+00:00,-4.5,173.0,76.0
URS2,2008-01-16 12:00:00+00:00,-5.2,233.0,78.0
URS2,2008-01-17 12:00:00+00:00,-5.1,177.0,75.0
URS2,2008-01-18 12:00:00+00:00,-1.6,99.0,78.0
URS2,2008-01-19 12:00:00+00:00,-0.2,134.0,77.0
URS2,2008-01-20 12:00:00+00:00,6.2,179.0,75.0
URS2,2008-01-21 12:00:00+00:00,4.4,196.0,72.0
URS2,2008-01-22 12:00:00+00:00,-5.1,220.0,76.0
URS2,2008-01-23 12:00:00+00:00,-3.1,80.0,67.0
URS2,2008-01-24 12:00:00+00:00,6.3,166.0,67.0
URS2,2008-01-25 12:00:00+00:00,-1.4,165.0,66.0
URS2,2008-01-26 12:00:00+00:00,2.6,74.0,66.0
URS2,2008-01-27 12:00:00+00:00,2.3,42.0,65.0
URS2,2008-01-28 12:00:00+00:00,6.4,109.0,62.0
URS2,2008-01-29 12:00:00+00:00,5.7,110.0,63.0
URS2,2008-01-30 12:00:00+00:00,-2.4,172.0,63.0
URS2,2008-01-31 12:00:00+00:00,-5.9,136.0,68.0
URS2,2008-02-01 12:00:00+00:00,-4.5,189.0,63.0
URS2,2008-02-02 12:00:00+00:00,-9.2,61.0,64.0
URS2,2008-02-03 12:00:00+00:00,-5.7,200.0,63.0
URS2,2008-02-04 12:00:00+00:00,-5.8,190.0,69.0
URS2,2008-02-05 12:00:00+00:00,-0.8,165.0,69.0
URS2,2008-02-06 12:00:00+00:00,-1.2,208.0,70.0
URS2,2008-02-07 12:00:00+00:00,-7.8,49.0,70.0
URS2,2008-02-08 12:00:00+00:00,3.4,152.0,66.0
URS2,2008-02-09 12:00:00+00:00,2.6,66.0,67.0
