station_code,measure_date,TA_30MIN_MEAN,DW_30MIN_MEAN,HS
JUL2,2008-01-01 12:00:00+00:00,-8.8,176.0,75.0
JUL2,2008-01-02 12:00:00+00:00,-10.3,75.0,
JUL2,2008-01-03 12:00:00+00:00,-6.1,142.0,82.0
JUL2,2008-01-04 12:00:00+00:00,-4.4,137.0,88.0
JUL2,2008-01-05 12:00:00+00:00,-4.6,155.0,89.0
JUL2,2008-01-06 12:00:00+00:00,-2.8,147.0,96.0
JUL2,2008-01-07 12:00:00+00:00,0.2,344.0,93.0
JUL2,2008-01-08 12:00:00+00:00,-2.2,43.0,88.0
JUL2,2008-01-09 12:00:00+00:00,-4.1,210.0,92.0
JUL2,2008-01-10 12:00:00+00:00,-0.7,233.0,89.0
JUL2,2008-01-11 12:00:00+00:00,-3.0,200.0,89.0
JUL2,2008-01-12 12:00:00+00:00,-5.1,141.0,123.0
JUL2,2008-01-13 12:00:00+00:00,-1.9,82.0,121.0
JUL2,2008-01-14 12:00:00+00:00,-6.6,229.0,117.0
JUL2,2008-01-15 12:00:00+00:00,-5.0,218.0,114.0
JUL2,2008-01-16 12:00:00+00:00,-6.2,132.0,121.0
JUL2,2008-01-17 12:00:00+00:00,-5.6,243.0,119.0
JUL2,2008-01-18 12:00:00+00:00,-1.9,9.0,118.0
JUL2,2008-01-19 12:00:00+00:00,1.3,286.0,115.0
JUL2,2008-01-20 12:00:00+00:00,4.8,40.0,112.0
JUL2,2008-01-21 12:00:00+00:00,4.3,10.0,112.0
JUL2,2008-01-22 12:00:00+00:00,-6.2,73.0,114.0
JUL2,2008-01-23 12:00:00+00:00,-7.2,110.0,111.0
JUL2,2008-01-24 12:00:00+00:00,6.2,22.0,108.0
JUL2,2008-01-25 12:00:00+00:00,0.0,296.0,108.0
JUL2,2008-01-26 12:00:00+00:00,1.2,258.0,107.0
JUL2,2008-01-27 12:00:00+00:00,0.8,360.0,108.0
JUL2,2008-01-28 12:00:00+00:00,4.8,65.0,105.0
JUL2,2008-01-29 12:00:00+00:00,6.9,244.0,102.0
JUL2,2008-01-30 12:00:00+00:00,-4.7,192.0,107.0
JUL2,2008-01-31 12:00:00+00:00,-5.4,107.0,108.0
JUL2,2008-02-01 12:00:00+00:00,-5.9,148.0,109.0
JUL2,2008-02-02 12:00:00+00:00,-9.3,135.0,115.0
JUL2,2008-02-03 12:00:00+00:00,-6.6,165.0,112.0
JUL2,2008-02-04 12:00:00+00:00,-6.2,147.0,122.0
JUL2,2008-02-05 12:00:00+00:00,-1.0,31.0,123.0
JUL2,2008-02-06 12:00:00+00:00,-0.8,163.0,121.0
JUL2,2008-02-07 12:00:00+00:00,-7.9,312.0,124.0
JUL2,2008-02-08 12:00:00+00:00,-0.8,63.0,116.0
JUL2,2008-02-09 12:00:00+00:00,1.1,6.0,116.0
JUL2,2008-02-10 12:00:00+00:00,1.3,119.0,114.0
JUL2,2008-02-11 12:00:00+00:00,-1.0,119.0,115.0
JUL2,2008-02-12 12:00:00+00:00,-0.6,33.0,114.0
JUL2,2008-02-13 12:00:00+00:00,0.0,42.0,112.0
JUL2,2008-02-14 12:00:00+00:00,1.0,44.0,112.0
JUL2,2008-02-15 12:00:00+00:00,-3.9,264.0,114.0
JUL2,2008-02-16 12:00:00+00:00,-4.3,149.0,112.0
JUL2,2008-02-17 12:00:00+00:00,1.0,0.0,111.0
JUL2,2008-02-18 12:00:00+00:00,1.9,0.0,110.0
JUL2,2008-02-19 12:00:00+00:00,3.7,7.0,111.0
JUL2,2008-02-20 12:00:00+00:00,4.9,170.0,110.0
JUL2,2008-02-21 12:00:00+00:00,-0.2,255.0,112.0
JUL2,2008-02-22 12:00:00+00:00,3.5,206.0,113.0
JUL2,2008-02-23 12:00:00+00:00,5.7,2.0,109.0
JUL2,2008-02-24 12:00:00+00:00,6.1,183.0,112.0
JUL2,2008-02-25 12:00:00+00:00,6.2,0.0,108.0
JUL2,2008-02-26 12:00:00+00:00,5.6,0.0,108.0
JUL2,2008-02-27 12:00:00+00:00,6.8,0.0,105.0
JUL2,2008-02-28 12:00:00+00:00,4.1,32.0,108.0
JUL2,2008-02-29 12:00:00+00:00,2.7,238.0,112.0
JUL2,2008-03-01 12:00:00+00:00,1.9,73.0,111.0
JUL2,2008-03-02 12:00:00+00:00,-0.6,30.0,127.0
JUL2,2008-03-03 12:00:00+00:00,-0.5,200.0,122.0
JUL2,2008-03-04 12:00:00+00:00,-9.2,350.0,123.0
JUL2,2008-03-05 12:00:00+00:00,-13.6,332.0,141.0
JUL2,2008-03-06 12:00:00+00:00,-10.8,98.0,134.0
JUL2,2008-03-07 12:00:00+00:00,1.5,5.0,130.0
JUL2,2008-03-08 12:00:00+00:00,-5.5,0.0,128.0
JUL2,2008-03-09 12:00:00+00:00,-3.0,195.0,128.0
JUL2,2008-03-10 12:00:00+00:00,-5.1,183.0,132.0
JUL2,2008-03-11 12:00:00+00:00,-3.7,119.0,143.0
JUL2,2008-03-12 12:00:00+00:00,2.8,178.0,142.0
JUL2,2008-03-13 12:00:00+00:00,-4.0,212.0,140.0
JUL2,2008-03-14 12:00:00+00:00,2.3,197.0,137.0
JUL2,2008-03-15 12:00:00+00:00,5.4,349.0,134.0
JUL2,2008-03-16 12:00:00+00:00,-3.8,263.0,140.0
JUL2,2008-03-17 12:00:00+00:00,-3.2,153.0,137.0
JUL2,2008-03-18 12:00:00+00:00,-6.9,305.0,134.0
JUL2,2008-03-19 12:00:00+00:00,-7.1,243.0,135.0
JUL2,2008-03-20 12:00:00+00:00,-10.3,357.0,137.0
JUL2,2008-03-21 12:00:00+00:00,-9.1,141.0,138.0
JUL2,2008-03-22 12:00:00+00:00,-4.7,205.0,133.0
JUL2,2008-03-23 12:00:00+00:00,-11.6,332.0,144.0
JUL2,2008-03-24 12:00:00+00:00,-11.8,351.0,146.0
JUL2,2008-03-25 12:00:00+00:00,-13.1,29.0,146.0
JUL2,2008-03-26 12:00:00+00:00,-2.9,217.0,140.0
JUL2,2008-03-27 12:00:00+00:00,-3.9,195.0,141.0
JUL2,2008-03-28 12:00:00+00:00,-3.4,209.0,144.0
JUL2,2008-03-29 12:00:00+00:00,1.5,136.0,140.0
JUL2,2008-03-30 12:00:00+00:00,-0.1,212.0,141.0
JUL2,2008-03-31 12:00:00+00:00,2.3,165.0,138.0
JUL2,2008-04-01 12:00:00+00:00,-1.2,204.0,137.0
JUL2,2008-04-02 12:00:00+00:00,-5.3,41.0,138.0
JUL2,2008-04-03 12:00:00+00:00,-6.7,354.0,155.0
JUL2,2008-04-04 12:00:00+00:00,-5.3,338.0,158.0
JUL2,2008-04-05 12:00:00+00:00,-5.1,163.0,152.0
JUL2,2008-04-06 12:00:00+00:00,-4.1,183.0,152.0
JUL2,2008-04-07 12:00:00+00:00,-10.2,329.0,163.0
JUL2,2008-04-08 12:00:00+00:00,-0.5,243.0,158.0
JUL2,2008-04-09 12:00:00+00:00,-1.5,162.0,157.0
JUL2,2008-04-10 12:00:00+00:00,1.8,128.0,154.0
JUL2,2008-04-11 12:00:00+00:00,1.3,126.0,153.0
JUL2,2008-04-12 12:00:00+00:00,-4.5,344.0,202.0
JUL2,2008-04-13 12:00:00+00:00,-3.5,217.0,192.0
JUL2,2008-04-14 12:00:00+00:00,-1.5,133.0,184.0
JUL2,2008-04-15 12:00:00+00:00,-7.5,334.0,193.0
JUL2,2008-04-16 12:00:00+00:00,-0.9,213.0,191.0
JUL2,2008-04-17 12:00:00+00:00,-1.4,189.0,185.0
JUL2,2008-04-18 12:00:00+00:00,2.8,173.0,177.0
JUL2,2008-04-19 12:00:00+00:00,-0.5,220.0,179.0
JUL2,2008-04-20 12:00:00+00:00,4.1,158.0,172.0
JUL2,2008-04-21 12:00:00+00:00,0.5,238.0,183.0
JUL2,2008-04-22 12:00:00+00:00,-2.1,359.0,201.0
JUL2,2008-04-23 12:00:00+00:00,1.0,140.0,197.0
JUL2,2008-04-24 12:00:00+00:00,1.8,354.0,193.0
JUL2,2008-04-25 12:00:00+00:00,-0.3,359.0,187.0
JUL2,2008-04-26 12:00:00+00:00,3.0,234.0,180.0
JUL2,2008-04-27 12:00:00+00:00,2.4,221.0,178.0
JUL2,2008-04-28 12:00:00+00:00,2.9,241.0,174.0
JUL2,2008-04-29 12:00:00+00:00,-1.0,161.0,175.0
JUL2,2008-04-30 12:00:00+00:00,-0.4,152.0,174.0
JUL2,2008-05-01 12:00:00+00:00,2.5,207.0,176.0
JUL2,2008-05-02 12:00:00+00:00,2.9,20.0,172.0
JUL2,2008-05-03 12:00:00+00:00,5.2,208.0,168.0
JUL2,2008-05-04 12:00:00+00:00,6.3,12.0,162.0
JUL2,2008-05-05 12:00:00+00:00,2.9,5.0,159.0
JUL2,2008-05-06 12:00:00+00:00,5.2,299.0,156.0
JUL2,2008-05-07 12:00:00+00:00,7.0,38.0,150.0
JUL2,2008-05-08 12:00:00+00:00,7.2,9.0,147.0
JUL2,2008-05-09 12:00:00+00:00,5.5,198.0,144.0
JUL2,2008-05-10 12:00:00+00:00,5.6,10.0,140.0
JUL2,2008-05-11 12:00:00+00:00,4.5,199.0,137.0
JUL2,2008-05-12 12:00:00+00:00,5.1,182.0,131.0
JUL2,2008-05-13 12:00:00+00:00,6.7,221.0,125.0
JUL2,2008-05-14 12:00:00+00:00,5.8,204.0,122.0
JUL2,2008-05-15 12:00:00+00:00,4.4,214.0,120.0
JUL2,2008-05-16 12:00:00+00:00,4.3,199.0,117.0
JUL2,2008-05-17 12:00:00+00:00,3.7,179.0,116.0
JUL2,2008-05-18 12:00:00+00:00,0.7,204.0,137.0
JUL2,2008-05-19 12:00:00+00:00,6.9,0.0,128.0
JUL2,2008-05-20 12:00:00+00:00,2.3,344.0,124.0
JUL2,2008-05-21 12:00:00+00:00,4.4,35.0,116.0
JUL2,2008-05-22 12:00:00+00:00,2.7,217.0,115.0
JUL2,2008-05-23 12:00:00+00:00,4.4,197.0,113.0
JUL2,2008-05-24 12:00:00+00:00,4.6,338.0,109.0
JUL2,2008-05-25 12:00:00+00:00,6.1,216.0,107.0
JUL2,2008-05-26 12:00:00+00:00,6.2,197.0,102.0
JUL2,2008-05-27 12:00:00+00:00,10.6,174.0,94.0
JUL2,2008-05-28 12:00:00+00:00,11.0,193.0,81.0
JUL2,2008-05-29 12:00:00+00:00,10.5,72.0,70.0
JUL2,2008-05-30 12:00:00+00:00,4.0,27.0,66.0
JUL2,2008-05-31 12:00:00+00:00,5.1,217.0,
JUL2,2008-06-01 12:00:00+00:00,8.8,206.0,
JUL2,2008-06-02 12:00:00+00:00,7.9,179.0,45.0
JUL2,2008-06-03 12:00:00+00:00,9.7,200.0,40.0
JUL2,2008-06-04 12:00:00+00:00,4.4,332.0,33.0
JUL2,2008-06-05 12:00:00+00:00,4.3,115.0,26.0
JUL2,2008-06-06 12:00:00+00:00,5.8,222.0,20.0
JUL2,2008-06-07 12:00:00+00:00,3.7,318.0,17.0
JUL2,2008-06-08 12:00:00+00:00,4.3,347.0,10.0
JUL2,2008-06-09 12:00:00+00:00,7.7,188.0,3.0
JUL2,2008-06-10 12:00:00+00:00,9.7,208.0,4.0
JUL2,2008-06-11 12:00:00+00:00,6.3,329.0,4.0
JUL2,2008-06-12 12:00:00+00:00,7.0,334.0,4.0
JUL2,2008-06-13 12:00:00+00:00,0.8,312.0,5.0
JUL2,2008-06-14 12:00:00+00:00,0.5,321.0,4.0
JUL2,2008-06-15 12:00:00+00:00,0.6,218.0,4.0
JUL2,2008-06-16 12:00:00+00:00,3.6,209.0,4.0
JUL2,2008-06-17 12:00:00+00:00,1.7,0.0,6.0
JUL2,2008-06-18 12:00:00+00:00,8.2,198.0,4.0
JUL2,2008-06-19 12:00:00+00:00,10.3,206.0,4.0
JUL2,2008-06-20 12:00:00+00:00,12.6,204.0,4.0
JUL2,2008-06-21 12:00:00+00:00,13.9,203.0,4.0
JUL2,2008-06-22 12:00:00+00:00,14.7,199.0,4.0
JUL2,2008-06-23 12:00:00+00:00,15.5,207.0,4.0
JUL2,2008-06-24 12:00:00+00:00,15.0,201.0,4.0
JUL2,2008-06-25 12:00:00+00:00,16.9,206.0,3.0
JUL2,2008-06-26 12:00:00+00:00,15.4,203.0,4.0
JUL2,2008-06-27 12:00:00+00:00,12.9,328.0,3.0
JUL2,2008-06-28 12:00:00+00:00,13.8,131.0,4.0
JUL2,2008-06-29 12:00:00+00:00,15.5,204.0,4.0
JUL2,2008-06-30 12:00:00+00:00,12.8,11.0,3.0
JUL2,2008-07-01 12:00:00+00:00,13.4,210.0,4.0
JUL2,2008-07-02 12:00:00+00:00,12.1,212.0,4.0
JUL2,2008-07-03 12:00:00+00:00,12.6,196.0,4.0
JUL2,2008-07-04 12:00:00+00:00,7.6,191.0,4.0
JUL2,2008-07-05 12:00:00+00:00,12.2,32.0,4.0
JUL2,2008-07-06 12:00:00+00:00,7.5,178.0,5.0
JUL2,2008-07-07 12:00:00+00:00,6.3,214.0,4.0
JUL2,2008-07-08 12:00:00+00:00,7.2,40.0,4.0
JUL2,2008-07-09 12:00:00+00:00,10.5,182.0,4.0
JUL2,2008-07-10 12:00:00+00:00,13.5,203.0,4.0
JUL2,2008-07-11 12:00:00+00:00,12.9,206.0,4.0
JUL2,2008-07-12 12:00:00+00:00,10.5,202.0,4.0
JUL2,2008-07-13 12:00:00+00:00,2.1,190.0,5.0
JUL2,2008-07-14 12:00:00+00:00,0.9,355.0,7.0
JUL2,2008-07-15 12:00:00+00:00,8.3,16.0,2.0
JUL2,2008-07-16 12:00:00+00:00,13.3,201.0,3.0
JUL2,2008-07-17 12:00:00+00:00,8.0,214.0,5.0
JUL2,2008-07-18 12:00:00+00:00,5.7,178.0,5.0
JUL2,2008-07-19 12:00:00+00:00,11.2,209.0,4.0
JUL2,2008-07-20 12:00:00+00:00,12.0,207.0,4.0
JUL2,2008-07-21 12:00:00+00:00,5.8,40.0,4.0
JUL2,2008-07-22 12:00:00+00:00,2.0,354.0,5.0
JUL2,2008-07-23 12:00:00+00:00,4.6,309.0,4.0
JUL2,2008-07-24 12:00:00+00:00,11.5,166.0,4.0
JUL2,2008-07-25 12:00:00+00:00,12.5,343.0,3.0
JUL2,2008-07-26 12:00:00+00:00,12.0,165.0,3.0
JUL2,2008-07-27 12:00:00+00:00,11.4,205.0,4.0
JUL2,2008-07-28 12:00:00+00:00,11.9,215.0,4.0
JUL2,2008-07-29 12:00:00+00:00,12.7,204.0,4.0
JUL2,2008-07-30 12:00:00+00:00,15.4,199.0,4.0
JUL2,2008-07-31 12:00:00+00:00,15.5,46.0,3.0
JUL2,2008-08-01 12:00:00+00:00,14.9,203.0,3.0
JUL2,2008-08-02 12:00:00+00:00,13.4,204.0,4.0
JUL2,2008-08-03 12:00:00+00:00,14.7,191.0,4.0
JUL2,2008-08-04 12:00:00+00:00,12.4,212.0,4.0
JUL2,2008-08-05 12:00:00+00:00,12.3,183.0,3.0
JUL2,2008-08-06 12:00:00+00:00,15.4,208.0,3.0
JUL2,2008-08-07 12:00:00+00:00,14.7,206.0,2.0
JUL2,2008-08-08 12:00:00+00:00,11.0,197.0,4.0
JUL2,2008-08-09 12:00:00+00:00,6.7,325.0,4.0
JUL2,2008-08-10 12:00:00+00:00,12.2,206.0,4.0
JUL2,2008-08-11 12:00:00+00:00,11.7,226.0,4.0
JUL2,2008-08-12 12:00:00+00:00,9.4,192.0,4.0
JUL2,2008-08-13 12:00:00+00:00,11.0,199.0,5.0
JUL2,2008-08-14 12:00:00+00:00,8.9,208.0,4.0
JUL2,2008-08-15 12:00:00+00:00,3.3,175.0,5.0
JUL2,2008-08-16 12:00:00+00:00,4.9,190.0,3.0
JUL2,2008-08-17 12:00:00+00:00,6.3,192.0,5.0
JUL2,2008-08-18 12:00:00+00:00,9.7,208.0,4.0
JUL2,2008-08-19 12:00:00+00:00,11.6,224.0,4.0
JUL2,2008-08-20 12:00:00+00:00,11.6,201.0,4.0
JUL2,2008-08-21 12:00:00+00:00,11.4,204.0,4.0
JUL2,2008-08-22 12:00:00+00:00,10.8,194.0,4.0
JUL2,2008-08-23 12:00:00+00:00,4.6,326.0,4.0
JUL2,2008-08-24 12:00:00+00:00,8.7,195.0,3.0
JUL2,2008-08-25 12:00:00+00:00,11.2,234.0,3.0
JUL2,2008-08-26 12:00:00+00:00,11.6,191.0,4.0
JUL2,2008-08-27 12:00:00+00:00,11.9,314.0,3.0
JUL2,2008-08-28 12:00:00+00:00,12.4,255.0,3.0
JUL2,2008-08-29 12:00:00+00:00,13.2,342.0,3.0
JUL2,2008-08-30 12:00:00+00:00,16.1,205.0,3.0
JUL2,2008-08-31 12:00:00+00:00,13.5,206.0,4.0
JUL2,2008-09-01 12:00:00+00:00,11.4,200.0,3.0
JUL2,2008-09-02 12:00:00+00:00,10.8,189.0,4.0
JUL2,2008-09-03 12:00:00+00:00,8.0,183.0,3.0
JUL2,2008-09-04 12:00:00+00:00,7.0,169.0,4.0
JUL2,2008-09-05 12:00:00+00:00,8.4,214.0,4.0
JUL2,2008-09-06 12:00:00+00:00,10.8,128.0,4.0
JUL2,2008-09-07 12:00:00+00:00,1.9,185.0,5.0
JUL2,2008-09-08 12:00:00+00:00,7.9,209.0,3.0
JUL2,2008-09-09 12:00:00+00:00,14.1,208.0,3.0
JUL2,2008-09-10 12:00:00+00:00,15.7,197.0,4.0
JUL2,2008-09-11 12:00:00+00:00,15.1,199.0,4.0
JUL2,2008-09-12 12:00:00+00:00,7.1,168.0,4.0
JUL2,2008-09-13 12:00:00+00:00,3.3,305.0,5.0
JUL2,2008-09-14 12:00:00+00:00,0.9,161.0,9.0
JUL2,2008-09-15 12:00:00+00:00,-2.6,327.0,7.0
JUL2,2008-09-16 12:00:00+00:00,-2.0,320.0,4.0
JUL2,2008-09-17 12:00:00+00:00,6.8,37.0,3.0
JUL2,2008-09-18 12:00:00+00:00,7.5,41.0,3.0
JUL2,2008-09-19 12:00:00+00:00,1.5,320.0,4.0
JUL2,2008-09-20 12:00:00+00:00,2.9,255.0,3.0
JUL2,2008-09-21 12:00:00+00:00,1.5,187.0,4.0
JUL2,2008-09-22 12:00:00+00:00,0.0,293.0,4.0
JUL2,2008-09-23 12:00:00+00:00,0.4,204.0,4.0
JUL2,2008-09-24 12:00:00+00:00,1.3,323.0,5.0
JUL2,2008-09-25 12:00:00+00:00,-1.5,334.0,5.0
JUL2,2008-09-26 12:00:00+00:00,1.0,222.0,3.0
JUL2,2008-09-27 12:00:00+00:00,3.1,198.0,5.0
JUL2,2008-09-28 12:00:00+00:00,4.0,2.0,4.0
JUL2,2008-09-29 12:00:00+00:00,8.1,203.0,4.0
JUL2,2008-09-30 12:00:00+00:00,3.6,206.0,5.0
JUL2,2008-10-01 12:00:00+00:00,5.2,208.0,5.0
JUL2,2008-10-02 12:00:00+00:00,3.1,197.0,5.0
JUL2,2008-10-03 12:00:00+00:00,-4.7,329.0,17.0
JUL2,2008-10-04 12:00:00+00:00,-5.0,346.0,12.0
JUL2,2008-10-05 12:00:00+00:00,4.3,208.0,2.0
JUL2,2008-10-06 12:00:00+00:00,7.1,136.0,5.0
JUL2,2008-10-07 12:00:00+00:00,6.5,218.0,2.0
JUL2,2008-10-08 12:00:00+00:00,4.5,210.0,3.0
JUL2,2008-10-09 12:00:00+00:00,6.8,176.0,3.0
JUL2,2008-10-10 12:00:00+00:00,8.3,192.0,3.0
